Algorithm,Cluster,Cancer Type,Proportion
kmeans,16,adrenocortical cancer,95.0
kmeans,16,pheochromocytoma & paraganglioma,5.0
kmeans,18,adrenocortical cancer,0.5195
kmeans,18,bladder urothelial carcinoma,3.6364
kmeans,18,uterine corpus endometrioid carcinoma,0.2597
kmeans,18,skin cutaneous melanoma,2.5974
kmeans,18,head & neck squamous cell carcinoma,1.039
kmeans,18,pancreatic adenocarcinoma,0.2597
kmeans,18,sarcoma,61.2987
kmeans,18,kidney clear cell carcinoma,1.039
kmeans,18,liver hepatocellular carcinoma,1.039
kmeans,18,breast invasive carcinoma,1.2987
kmeans,18,uterine carcinosarcoma,0.2597
kmeans,18,glioblastoma multiforme,0.5195
kmeans,18,kidney chromophobe,0.5195
kmeans,18,lung adenocarcinoma,0.5195
kmeans,18,mesothelioma,22.0779
kmeans,18,colon adenocarcinoma,0.2597
kmeans,18,esophageal carcinoma,0.5195
kmeans,18,stomach adenocarcinoma,2.3377
kmeans,31,adrenocortical cancer,0.107
kmeans,31,bladder urothelial carcinoma,7.7005
kmeans,31,head & neck squamous cell carcinoma,52.9412
kmeans,31,cervical & endocervical cancer,29.8396
kmeans,31,lung squamous cell carcinoma,2.4599
kmeans,31,breast invasive carcinoma,0.3209
kmeans,31,esophageal carcinoma,5.6684
kmeans,31,uterine corpus endometrioid carcinoma,0.107
kmeans,31,stomach adenocarcinoma,0.8556
kmeans,17,bladder urothelial carcinoma,98.452
kmeans,17,kidney papillary cell carcinoma,1.2384
kmeans,17,lung squamous cell carcinoma,0.3096
kmeans,0,bladder urothelial carcinoma,2.0548
kmeans,0,uterine corpus endometrioid carcinoma,0.6849
kmeans,0,skin cutaneous melanoma,0.1712
kmeans,0,head & neck squamous cell carcinoma,9.9315
kmeans,0,pancreatic adenocarcinoma,0.1712
kmeans,0,cervical & endocervical cancer,1.8836
kmeans,0,lung squamous cell carcinoma,73.9726
kmeans,0,breast invasive carcinoma,0.1712
kmeans,0,lung adenocarcinoma,1.8836
kmeans,0,thymoma,1.5411
kmeans,0,esophageal carcinoma,7.363
kmeans,0,stomach adenocarcinoma,0.1712
kmeans,7,bladder urothelial carcinoma,0.9146
kmeans,7,uterine corpus endometrioid carcinoma,81.5549
kmeans,7,skin cutaneous melanoma,0.1524
kmeans,7,head & neck squamous cell carcinoma,0.3049
kmeans,7,sarcoma,3.0488
kmeans,7,cervical & endocervical cancer,2.1341
kmeans,7,lung squamous cell carcinoma,0.9146
kmeans,7,breast invasive carcinoma,0.6098
kmeans,7,uterine carcinosarcoma,8.3841
kmeans,7,lung adenocarcinoma,0.6098
kmeans,7,ovarian serous cystadenocarcinoma,1.2195
kmeans,7,esophageal carcinoma,0.1524
kmeans,10,bladder urothelial carcinoma,0.4274
kmeans,10,skin cutaneous melanoma,97.0085
kmeans,10,head & neck squamous cell carcinoma,0.2137
kmeans,10,pancreatic adenocarcinoma,0.2137
kmeans,10,sarcoma,1.0684
kmeans,10,lung squamous cell carcinoma,0.2137
kmeans,10,glioblastoma multiforme,0.2137
kmeans,10,thymoma,0.2137
kmeans,10,cholangiocarcinoma,0.2137
kmeans,10,esophageal carcinoma,0.2137
kmeans,27,bladder urothelial carcinoma,0.2928
kmeans,27,uterine corpus endometrioid carcinoma,0.4392
kmeans,27,pancreatic adenocarcinoma,25.9151
kmeans,27,sarcoma,0.2928
kmeans,27,cervical & endocervical cancer,0.2928
kmeans,27,colon adenocarcinoma,1.0249
kmeans,27,lung squamous cell carcinoma,0.2928
kmeans,27,liver hepatocellular carcinoma,0.2928
kmeans,27,lung adenocarcinoma,0.1464
kmeans,27,pheochromocytoma & paraganglioma,0.1464
kmeans,27,testicular germ cell tumor,0.1464
kmeans,27,cholangiocarcinoma,0.5857
kmeans,27,esophageal carcinoma,12.5915
kmeans,27,stomach adenocarcinoma,57.3939
kmeans,27,ovarian serous cystadenocarcinoma,0.1464
kmeans,1,bladder urothelial carcinoma,0.1517
kmeans,1,pancreatic adenocarcinoma,0.4552
kmeans,1,cervical & endocervical cancer,0.3035
kmeans,1,colon adenocarcinoma,67.6783
kmeans,1,rectum adenocarcinoma,24.2792
kmeans,1,esophageal carcinoma,1.3657
kmeans,1,stomach adenocarcinoma,5.7663
kmeans,29,diffuse large B-cell lymphoma,97.9592
kmeans,29,stomach adenocarcinoma,2.0408
kmeans,25,uterine corpus endometrioid carcinoma,7.0988
kmeans,25,cervical & endocervical cancer,0.3086
kmeans,25,ovarian serous cystadenocarcinoma,92.284
kmeans,25,uterine carcinosarcoma,0.3086
kmeans,4,skin cutaneous melanoma,0.0983
kmeans,4,head & neck squamous cell carcinoma,0.59
kmeans,4,breast invasive carcinoma,99.2134
kmeans,4,thymoma,0.0983
kmeans,24,skin cutaneous melanoma,5.814
kmeans,24,brain lower grade glioma,1.1628
kmeans,24,uveal melanoma,93.0233
kmeans,9,skin cutaneous melanoma,0.3067
kmeans,9,sarcoma,0.1534
kmeans,9,lung squamous cell carcinoma,13.4969
kmeans,9,lung adenocarcinoma,85.5828
kmeans,9,mesothelioma,0.3067
kmeans,9,stomach adenocarcinoma,0.1534
kmeans,3,prostate adenocarcinoma,100.0
kmeans,28,prostate adenocarcinoma,6.3063
kmeans,28,kidney papillary cell carcinoma,10.8108
kmeans,28,kidney clear cell carcinoma,11.7117
kmeans,28,testicular germ cell tumor,71.1712
kmeans,12,kidney papillary cell carcinoma,93.8849
kmeans,12,kidney clear cell carcinoma,6.1151
kmeans,5,kidney papillary cell carcinoma,1.2295
kmeans,5,kidney clear cell carcinoma,98.7705
kmeans,13,kidney papillary cell carcinoma,26.9504
kmeans,13,sarcoma,0.7092
kmeans,13,kidney clear cell carcinoma,51.773
kmeans,13,kidney chromophobe,20.5674
kmeans,19,kidney papillary cell carcinoma,2.5641
kmeans,19,kidney clear cell carcinoma,20.5128
kmeans,19,kidney chromophobe,76.9231
kmeans,21,cervical & endocervical cancer,0.5435
kmeans,21,breast invasive carcinoma,98.913
kmeans,21,esophageal carcinoma,0.5435
kmeans,26,colon adenocarcinoma,80.3922
kmeans,26,rectum adenocarcinoma,19.6078
kmeans,8,rectum adenocarcinoma,0.2179
kmeans,8,kidney clear cell carcinoma,0.2179
kmeans,8,liver hepatocellular carcinoma,90.8497
kmeans,8,cholangiocarcinoma,8.7146
kmeans,20,breast invasive carcinoma,100.0
kmeans,6,glioblastoma multiforme,24.212
kmeans,6,brain lower grade glioma,75.788
kmeans,2,thyroid carcinoma,100.0
kmeans,30,thyroid carcinoma,100.0
kmeans,15,pheochromocytoma & paraganglioma,100.0
kmeans,14,testicular germ cell tumor,100.0
kmeans,22,thymoma,100.0
kmeans,23,thymoma,100.0
kmeans,11,acute myeloid leukemia,100.0
gmm,16,adrenocortical cancer,95.0
gmm,16,pheochromocytoma & paraganglioma,5.0
gmm,18,adrenocortical cancer,0.5168
gmm,18,bladder urothelial carcinoma,3.6176
gmm,18,uterine corpus endometrioid carcinoma,0.2584
gmm,18,skin cutaneous melanoma,2.584
gmm,18,head & neck squamous cell carcinoma,1.0336
gmm,18,pancreatic adenocarcinoma,0.2584
gmm,18,sarcoma,61.2403
gmm,18,kidney clear cell carcinoma,1.0336
gmm,18,liver hepatocellular carcinoma,1.0336
gmm,18,breast invasive carcinoma,1.5504
gmm,18,uterine carcinosarcoma,0.2584
gmm,18,glioblastoma multiforme,0.5168
gmm,18,kidney chromophobe,0.5168
gmm,18,lung adenocarcinoma,0.5168
gmm,18,mesothelioma,21.9638
gmm,18,colon adenocarcinoma,0.2584
gmm,18,esophageal carcinoma,0.5168
gmm,18,stomach adenocarcinoma,2.3256
gmm,31,adrenocortical cancer,0.117
gmm,31,bladder urothelial carcinoma,5.2632
gmm,31,head & neck squamous cell carcinoma,55.7895
gmm,31,cervical & endocervical cancer,32.6316
gmm,31,lung squamous cell carcinoma,1.5205
gmm,31,breast invasive carcinoma,0.3509
gmm,31,esophageal carcinoma,3.3918
gmm,31,uterine corpus endometrioid carcinoma,0.117
gmm,31,stomach adenocarcinoma,0.8187
gmm,17,bladder urothelial carcinoma,97.4504
gmm,17,kidney papillary cell carcinoma,1.1331
gmm,17,cervical & endocervical cancer,0.2833
gmm,17,lung squamous cell carcinoma,0.5666
gmm,17,esophageal carcinoma,0.2833
gmm,17,stomach adenocarcinoma,0.2833
gmm,0,bladder urothelial carcinoma,2.0505
gmm,0,uterine corpus endometrioid carcinoma,0.6309
gmm,0,skin cutaneous melanoma,0.1577
gmm,0,head & neck squamous cell carcinoma,11.9874
gmm,0,pancreatic adenocarcinoma,0.1577
gmm,0,cervical & endocervical cancer,1.5773
gmm,0,lung squamous cell carcinoma,69.5584
